姓名,财富(亿),性别,年龄,出生地,公司,行业,总部,排名,年龄段,省份
蒋卫平,175.0,先生,69.0,,天齐锂业,锂矿,四川遂宁,288,61-70岁,四川遂宁
潘石屹,175.0,先生,61.0,天水,SOHO中国,投资、房地产,北京,288,61-70岁,北京
唐彬森,175.0,先生,42.0,合肥,元气森林,饮料,北京,288,41-50岁,北京
阳萌,175.0,先生,42.0,,安克,电子商务,湖南长沙,288,41-50岁,湖南长沙
张静章,175.0,先生,87.0,,海天国际,注塑机,浙江宁波,288,70岁以上,浙江宁波
安康,170.0,先生,75.0,,华兰生物,生物制药,河南新乡,293,70岁以上,河南新乡
黄立,170.0,先生,61.0,,高德电气,电子制造,湖北武汉,293,61-70岁,湖北武汉
黄茂如,170.0,先生,59.0,揭阳,茂业,投资、房地产,广东深圳,293,51-60岁,广东深圳
蒋业华,170.0,先生,61.0,重庆,华宇,房地产,重庆,293,61-70岁,重庆
林耀英,170.0,先生,91.0,,大立光,电子元件,台湾台北,293,70岁以上,台湾台北
戚振波,170.0,先生,,,美腕,新零售,上海,293,,上海
钱东奇,170.0,先生,66.0,南京,科沃斯,机器人,江苏苏州,293,61-70岁,江苏苏州
肖永明,170.0,先生,60.0,,藏格矿业,矿产,青海格尔木,293,61-70岁,青海格尔木
邢李㷧,170.0,先生,75.0,香港,思捷环球,投资,香港,293,70岁以上,香港
张帆,170.0,先生,59.0,成都,汇顶科技,半导体芯片,广东深圳,293,51-60岁,广东深圳
张宏伟,170.0,先生,70.0,黑龙江,东方,能源、零售,北京,293,70岁以上,北京
周胜馥,170.0,先生,47.0,,拉拉科技,货运物流,广东深圳,293,41-50岁,广东深圳
邹支农,170.0,先生,56.0,,天孚通信,通信设备,江苏苏州,293,51-60岁,江苏苏州
蔡东晨,165.0,先生,71.0,石家庄,石药,医药,河北石家庄,306,70岁以上,河北石家庄
陈凯臣,165.0,先生,,揭阳,立白,日化用品,广东广州,306,,广东广州
邓伟明,165.0,先生,56.0,,中伟股份,工业产品,湖南长沙,306,51-60岁,湖南长沙
利约翰,165.0,先生,70.0,,中电,能源,香港,306,70岁以上,香港
邵钦祥,165.0,先生,70.0,,花园,工业制造、房地产,浙江金华,306,70岁以上,浙江金华
王华君,165.0,先生,54.0,,裕同包装,包装,广东深圳,306,51-60岁,广东深圳
王文京,165.0,先生,60.0,上饶,用友,软件与信息服务,北京,306,61-70岁,北京
王希成,165.0,先生,76.0,,玲珑轮胎,轮胎,山东烟台,306,70岁以上,山东烟台
吴少勋,165.0,先生,68.0,,劲牌,保健酒,湖北黄石,306,61-70岁,湖北黄石
徐乘,165.0,先生,72.0,台北,徐福记,食品,广东东莞,306,70岁以上,广东东莞
虞锋,165.0,先生,61.0,上海,云锋基金,投资,上海徐汇,306,61-70岁,上海徐汇
张万镇,165.0,先生,75.0,潮州,三环,通信部件、电子元器件,广东潮州,306,70岁以上,广东潮州
陈爱莲,160.0,先生,66.0,绍兴,万丰,智能制造、投资,浙江绍兴,318,61-70岁,浙江绍兴
陈明永,160.0,先生,55.0,达州,OPPO,消费电子产品,广东东莞,318,51-60岁,广东东莞
陈谭庆芬,160.0,先生,,,恒隆,房地产,香港,318,,香港
冯海良,160.0,先生,64.0,,海亮,铜加工、投资,浙江绍兴,318,61-70岁,浙江绍兴
葛卫东,160.0,先生,55.0,,混沌投资,投资,上海浦东,318,51-60岁,上海浦东
梁绍鸿,160.0,先生,72.0,香港,大鸿辉,房地产,香港,318,70岁以上,香港
穆荣均,160.0,先生,44.0,,美团,生活服务,北京,318,41-50岁,北京
彭蕾,160.0,先生,53.0,,阿里系,电子商务、金融科技,浙江杭州,318,51-60岁,浙江杭州
伍步高,160.0,先生,80.0,佛山,永隆,银行业,香港,318,70岁以上,香港
程一笑,155.0,先生,39.0,,快手科技,传媒娱乐,北京,327,31-40岁,北京
李丐腾,155.0,先生,52.0,温州,飞科电器,小家电,上海松江,327,51-60岁,上海松江
林明成,155.0,先生,81.0,,华南金控,金融服务,台湾台北,327,70岁以上,台湾台北
罗家宝,155.0,先生,75.0,,百乐,房地产,香港,327,70岁以上,香港
吴冠江,155.0,先生,56.0,乐山,智飞生物,疫苗,重庆,327,51-60岁,重庆
谢良志,155.0,先生,58.0,,神州,生物制药,北京,327,51-60岁,北京
张荣华,155.0,女士,55.0,天津,荣程,钢铁,天津,327,51-60岁,天津
周鸿祎,155.0,先生,54.0,黄冈,三六零安全科技,网络信息服务,北京,327,51-60岁,北京
蔡东青,150.0,先生,55.0,汕头,奥飞娱乐,动漫,广东汕头,335,51-60岁,广东汕头
黄绍武,150.0,先生,54.0,九江,神州通,投资,广东深圳,335,51-60岁,广东深圳
李留法,150.0,先生,65.0,,天瑞,水泥、铝业,河南平顶山,335,61-70岁,河南平顶山
倪永培,150.0,先生,72.0,六安,迎驾,白酒,安徽六安,335,70岁以上,安徽六安
任元林,150.0,先生,71.0,无锡,扬子江船业,造船,江苏无锡,335,70岁以上,江苏无锡
王水福,150.0,先生,69.0,,西子联合控股,电梯、锅炉、房地产,浙江杭州,335,61-70岁,浙江杭州
魏应州,150.0,先生,70.0,龙岩,顶新,食品和饮料,天津,335,70岁以上,天津
许昆泰,150.0,先生,68.0,,蓝天,消费电子产品,台湾台北,335,61-70岁,台湾台北
张雷,150.0,先生,48.0,,远景能源,风电,江苏无锡,335,41-50岁,江苏无锡
赵丰刚,150.0,先生,58.0,,宁德时代,锂电池,福建宁德,335,51-60岁,福建宁德
池宇峰,145.0,先生,53.0,湖北,完美世界,网游、影视娱乐,北京,345,51-60岁,北京
高纪凡,145.0,先生,59.0,,天合光能,光伏产品,江苏常州,345,51-60岁,江苏常州
李锂,145.0,先生,60.0,眉山,海普瑞,医药,广东深圳,345,61-70岁,广东深圳
李如成,145.0,先生,73.0,,雅戈尔,服装、房地产、投资,浙江宁波,345,70岁以上,浙江宁波
林刚,145.0,先生,60.0,,康哲药业,医药,广东深圳,345,61-70岁,广东深圳
聂腾云,145.0,先生,48.0,,韵达,物流,上海青浦,345,41-50岁,上海青浦
戚金兴,145.0,先生,62.0,,滨江,房地产,浙江杭州,345,61-70岁,浙江杭州
沈炜,145.0,先生,,,VIVO,消费电子产品,广东东莞,345,,广东东莞
侯军呈,140.0,先生,60.0,,珀莱雅,化妆品,浙江杭州,353,61-70岁,浙江杭州
南存辉,140.0,先生,61.0,,正泰,工业电器、投资,浙江温州,353,61-70岁,浙江温州
潘来灿,140.0,先生,,,海天味业,调味品,广东佛山,353,,广东佛山
汪建,140.0,先生,70.0,湖南,华大基因、碳云,基因检测、医疗大数据,广东深圳,353,70岁以上,广东深圳
王燕清,140.0,先生,58.0,无锡,先导智能,自动化设备,江苏无锡,353,51-60岁,江苏无锡
王一鸣,140.0,先生,43.0,,锦浪科技,光伏逆变器,浙江宁波,353,41-50岁,浙江宁波
王长田,140.0,先生,59.0,大连,光线传媒,影视娱乐,北京,353,51-60岁,北京
魏应充,140.0,先生,67.0,龙岩,顶新,食品和饮料,天津,353,61-70岁,天津
魏应交,140.0,先生,69.0,龙岩,顶新,食品和饮料,天津,353,61-70岁,天津
魏应行,140.0,先生,65.0,龙岩,顶新,食品和饮料,天津,353,61-70岁,天津
吴凯,140.0,先生,56.0,,宁德时代,锂电池,福建宁德,353,51-60岁,福建宁德
吴礼淦,140.0,先生,83.0,武汉,沪电股份,印制电路板,上海,353,70岁以上,上海
叶立培,140.0,先生,80.0,上海,仲盛,投资、房地产,上海闵行,353,70岁以上,上海闵行
易大盛,140.0,先生,63.0,,富兴,汽车服务，产业园区,湖南长沙,353,61-70岁,湖南长沙
俞敏洪,140.0,先生,62.0,无锡,新东方,教育,北京,353,61-70岁,北京
周永利,140.0,先生,68.0,,永利,轻纺、房地产、投资,浙江绍兴,353,61-70岁,浙江绍兴
竺兆江,140.0,先生,51.0,,传音,消费电子产品,广东深圳,353,51-60岁,广东深圳
卓志哲,140.0,先生,,,联发科技,半导体,台湾新竹,353,,台湾新竹
邓鸿,135.0,先生,61.0,四川,成都环球世纪,投资、房地产,四川成都,371,61-70岁,四川成都
董凡,135.0,先生,54.0,,健帆生物,生物医疗设备,广东珠海,371,51-60岁,广东珠海
方文雄,135.0,先生,,东莞,协成行,房地产,香港,371,,香港
何猷龙,135.0,先生,48.0,香港,新濠国际,博彩,香港,371,41-50岁,香港
焦佑伦,135.0,先生,66.0,,华新丽华,半导体,台湾台北,371,61-70岁,台湾台北
林秀成,135.0,先生,69.0,泉州市,三安,LED,福建厦门,371,61-70岁,福建厦门
刘卫平,135.0,先生,45.0,湖南,卫龙,食品,河南漯河,371,41-50岁,河南漯河
刘志强,135.0,先生,60.0,广东,香江,房地产、金融,广东深圳,371,61-70岁,广东深圳
沈锡强,135.0,先生,76.0,无锡,雅克科技,化工新材料,江苏无锡,371,70岁以上,江苏无锡
汪建国,135.0,先生,64.0,苏州,五星投资,电子商务、儿童用品连锁,江苏南京,371,61-70岁,江苏南京
王世忠,135.0,先生,,,亚德客,工业机械,台湾台北,371,,台湾台北
伍伟国,135.0,先生,54.0,,美心,餐饮,香港,371,51-60岁,香港
肖安江,135.0,先生,61.0,,五江轻化,钛合金、保温容器,湖南长沙,371,61-70岁,湖南长沙
肖自江,135.0,先生,74.0,,五江轻化,钛合金、保温容器,湖南长沙,371,70岁以上,湖南长沙
许树根,135.0,先生,59.0,,鼎力,机械制造,浙江湖州,371,51-60岁,浙江湖州
袁富根,135.0,先生,74.0,苏州,东山精密,精密铸件,江苏苏州,371,70岁以上,江苏苏州
袁志伦,135.0,先生,60.0,重庆,博赛矿业,矿业,重庆,371,61-70岁,重庆
陈世卿,130.0,先生,75.0,,大立光,电子元件,台湾台北,388,70岁以上,台湾台北
陈一丹,130.0,先生,53.0,深圳,腾讯,互联网服务,广东深圳,388,51-60岁,广东深圳
崔立新,130.0,先生,,,创新集团,有色金属,山东滨州,388,,山东滨州
崔鹏,130.0,先生,47.0,,菲鹏生物,生物科技,广东深圳,388,41-50岁,广东深圳
黄达文,130.0,先生,64.0,,合盛,硅材料,浙江宁波,388,61-70岁,浙江宁波
兰春,130.0,先生,58.0,,新英才,教育、生物医药、房地产、投资,北京,388,51-60岁,北京
李良彬,130.0,先生,57.0,宜春,赣锋锂业,有色金属冶炼加工,江西新余,388,51-60岁,江西新余
李卫国,130.0,先生,59.0,,东方雨虹,防水材料,北京,388,51-60岁,北京
李仙德,130.0,先生,49.0,,晶科能源,太阳能,江西上饶,388,41-50岁,江西上饶
李湘平,130.0,先生,,,东明石化,石油化工,山东菏泽,388,,山东菏泽
梁允超,130.0,先生,55.0,,汤臣倍健,保健品,广东珠海,388,51-60岁,广东珠海
刘革新,130.0,先生,73.0,湖北,科伦药业,制药、医药流通,四川成都,388,70岁以上,四川成都
尚吉永,130.0,先生,56.0,东营,万达控股,轮胎、电缆、化工,山东东营,388,51-60岁,山东东营
苏素玉,130.0,先生,76.0,汕头,联美,房地产、投资,广东汕头,388,70岁以上,广东汕头
王均金,130.0,先生,56.0,,均瑶,房地产、航空、零售,上海徐汇,388,51-60岁,上海徐汇
王秋雄,130.0,先生,81.0,,丰泰,服装,台湾斗六,388,70岁以上,台湾斗六
吴绪顺,130.0,先生,76.0,,三七互娱,网络游戏,广东广州,388,70岁以上,广东广州
谢秉昆,130.0,先生,58.0,,坤彩科技,珠光材料,福建福州,388,51-60岁,福建福州
许冉,130.0,未知,,河南,龙佰,钛白粉,河南焦作,388,,河南焦作
张国炜,130.0,先生,,,星宇航空,航空,台湾台北,388,,台湾台北
周敬良,130.0,先生,74.0,,景田,饮料,广东深圳,388,70岁以上,广东深圳
朱兴明,130.0,先生,57.0,,汇川技术,工业自动化产品,广东深圳,388,51-60岁,广东深圳
蔡华波,125.0,先生,48.0,,江波龙,半导体,广东深圳,410,41-50岁,广东深圳
丁立国,125.0,先生,54.0,任丘,德龙,钢铁、天然气,上海,410,51-60岁,上海
丁雅丽,125.0,先生,,,安踏,体育用品,福建厦门,410,,福建厦门
董伟,125.0,先生,53.0,,恒瑞,医药,江苏连云港,410,51-60岁,江苏连云港
洪锋,125.0,先生,,,小米,智能硬件与技术,北京,410,,北京
雷菊芳,125.0,女士,71.0,,奇正藏药,医药,西藏林芝,410,70岁以上,西藏林芝
李非列,125.0,先生,58.0,梧州,飞尚,有色金属、钢铁、物流,广东深圳,410,51-60岁,广东深圳
李妙行,125.0,先生,,,老干妈,食品,贵州贵阳,410,,贵州贵阳
李伟,125.0,先生,56.0,南阳,千味央厨,食品、房地产,河南郑州,410,51-60岁,河南郑州
梁亮胜,125.0,先生,73.0,,丝宝,日化、投资,香港,410,70岁以上,香港
林聪吉,125.0,未知,,,川湖科技,五金配件,台湾高雄,410,,台湾高雄
吕慧,125.0,先生,75.0,,嘉鑫,钢铁、铁矿石进出口、房地产,香港,410,70岁以上,香港
邱光和,125.0,先生,73.0,,森马,服装,浙江温州,410,70岁以上,浙江温州
任正非,125.0,先生,80.0,安顺,华为,消费电子、电讯,广东深圳,410,70岁以上,广东深圳
唐金奎,125.0,先生,69.0,苏州,盛虹,印染、化纤、房地产,江苏苏州,410,61-70岁,江苏苏州
徐新,125.0,先生,58.0,,今日资本,投资,上海浦东,410,51-60岁,上海浦东
许景南,125.0,先生,69.0,,匹克,体育用品,福建泉州,410,61-70岁,福建泉州
闫希军,125.0,先生,71.0,天津,天士力,医药,天津,410,70岁以上,天津
严陈莉莲,125.0,女士,59.0,,裕隆,汽车销售,台湾新北,410,51-60岁,台湾新北
俞发祥,125.0,先生,53.0,,祥源控股,基础设施建设、房地产,浙江绍兴,410,51-60岁,浙江绍兴
袁志敏,125.0,先生,63.0,,金发科技,化工塑料,广东广州,410,61-70岁,广东广州
张洪本,125.0,先生,78.0,温州,日月光,工业品、房地产,台湾高雄,410,70岁以上,台湾高雄
赵立新,125.0,先生,58.0,北京,格科微,CMOS图像传感器,上海,410,51-60岁,上海
龚俊龙,120.0,先生,65.0,汕尾,恒裕,房地产、投资,广东深圳,433,61-70岁,广东深圳
黄江吉,120.0,先生,,,小米,智能硬件与技术,北京,433,,北京
黄毅,120.0,先生,61.0,,中升控股,汽车销售,辽宁大连,433,61-70岁,辽宁大连
金惠明,120.0,先生,71.0,上海,大华,房地产,上海宝山,433,70岁以上,上海宝山
赖建法,120.0,先生,55.0,,中通,快递,上海青浦,433,51-60岁,上海青浦
黎万强,120.0,先生,47.0,,小米,智能硬件与技术,北京,433,41-50岁,北京
李贵山,120.0,先生,,,老干妈,食品,贵州贵阳,433,,贵州贵阳
刘锋,120.0,先生,54.0,禹城,永锋,钢铁,山东济南,433,51-60岁,山东济南
陆地,120.0,先生,,,大疆,无人机,广东深圳,433,,广东深圳
孟庆山,120.0,先生,76.0,河北,梅花,食用调味品,河北廊坊,433,70岁以上,河北廊坊
瞿芳,120.0,未知,,,小红书,生活服务平台、电商,上海,433,,上海
王瀚,120.0,先生,37.0,,均瑶,房地产、航空、零售,上海徐汇,433,31-40岁,上海徐汇
王林祥,120.0,先生,73.0,包头,鄂尔多斯,羊绒、煤电、冶金、房地产,内蒙古鄂尔多斯,433,70岁以上,内蒙古鄂尔多斯
温鹏程,120.0,先生,62.0,,温氏食品,家禽养殖畜牧,广东云浮,433,61-70岁,广东云浮
徐金富,120.0,先生,60.0,广州,天赐材料,化学原料制品,广东广州,433,61-70岁,广东广州
徐宇,120.0,先生,52.0,,赫基国际,服装,广东广州,433,51-60岁,广东广州
徐振华,120.0,先生,45.0,上海,沐瞳科技,游戏,上海,433,41-50岁,上海
杨雪岗,120.0,先生,59.0,邢台,旭阳,煤炭、化工,北京,433,51-60岁,北京
叶国一,120.0,先生,83.0,,英业达,电脑产品,台湾台北,433,70岁以上,台湾台北
周耀庭,120.0,先生,81.0,无锡,红豆,服装、橡胶轮胎、房地产,江苏无锡,433,70岁以上,江苏无锡
祝文宇,120.0,未知,,,爱山林,房地产,台湾台北,433,,台湾台北
陈琼香,115.0,先生,,,宁德时代,锂电池,福建宁德,454,,福建宁德
方洪波,115.0,先生,57.0,,美的,家电制造,广东佛山,454,51-60岁,广东佛山
洪杰,115.0,先生,57.0,,三棵树,涂料,福建莆田,454,51-60岁,福建莆田
胡荣达,115.0,先生,65.0,,三美化工,化工,浙江金华,454,61-70岁,浙江金华
黄联禧,115.0,先生,61.0,佛山,联塑,建材家居,广东佛山,454,61-70岁,广东佛山
黄山,115.0,先生,54.0,,财富趋势,金融软件,广东深圳,454,51-60岁,广东深圳
黄世再,115.0,先生,73.0,揭阳,大中华地产,房地产,广东深圳,454,70岁以上,广东深圳
姜银台,115.0,先生,74.0,,岱美股份,汽车内饰,上海浦东,454,70岁以上,上海浦东
赖建平,115.0,先生,,,海天味业,调味品,广东佛山,454,,广东佛山
吕义雄,115.0,先生,47.0,汕头,上美,化妆品,上海,454,41-50岁,上海
马秀慧,115.0,先生,53.0,,欧普照明,节能灯,上海闵行,454,51-60岁,上海闵行
齐向东,115.0,先生,59.0,,奇安信,网络安全,北京,454,51-60岁,北京
邱文生,115.0,先生,,,华勤技术,消费电子,上海浦东,454,,上海浦东
任道德,115.0,先生,64.0,,泰康,保险,北京,454,61-70岁,北京
吴映明,115.0,先生,57.0,,宁德时代,锂电池,福建宁德,454,51-60岁,福建宁德
俞熔,115.0,先生,53.0,,美年健康,医疗服务,上海静安,454,51-60岁,上海静安
袁江涛,115.0,先生,,,嘉立创,半导体,广东深圳,454,,广东深圳
曾万辉,110.0,先生,56.0,,景嘉微,电子器件制造,湖南长沙,471,51-60岁,湖南长沙
何著胜,110.0,先生,77.0,,后英,耐火材料、钢铁、矿业,辽宁鞍山,471,70岁以上,辽宁鞍山
贺正刚,110.0,先生,70.0,,和邦股份,矿产、化工,四川乐山,471,70岁以上,四川乐山
胡兴荣,110.0,先生,43.0,温州,多弗,贸易、房地产,北京,471,41-50岁,北京
李力,110.0,先生,59.0,,爱尔眼科,医疗服务,湖南长沙,471,51-60岁,湖南长沙
李明,110.0,先生,56.0,宝鸡,亚特,投资、有色金属,甘肃陇南,471,51-60岁,甘肃陇南
刘洪林,110.0,先生,73.0,无锡,三木,化工、铜加工、电线电缆,江苏无锡,471,70岁以上,江苏无锡
梅志明,110.0,先生,52.0,,普洛斯,物流地产、投资,上海浦东,471,51-60岁,上海浦东
汪顾亦珍,110.0,先生,107.0,江苏,德昌电机,工业产品,香港,471,,香港
王剑峰,110.0,先生,54.0,,均胜投资,汽车零部件制造,浙江宁波,471,51-60岁,浙江宁波
王文默,110.0,先生,68.0,,安踏,体育用品,福建厦门,471,61-70岁,福建厦门
吴尚志,110.0,先生,74.0,北京,鼎晖,投资,北京,471,70岁以上,北京
项光明,110.0,先生,61.0,,伟明环保,垃圾发电,浙江温州,471,61-70岁,浙江温州
许晨晔,110.0,先生,53.0,,腾讯,互联网服务,广东深圳,471,51-60岁,广东深圳
许英灼,110.0,先生,59.0,潮汕,海大,饲料,广东广州,471,51-60岁,广东广州
严健军,110.0,先生,59.0,宁波,致达,信息、金融、投资,上海静安,471,51-60岁,上海静安
姚奎章,110.0,先生,59.0,,养元饮品,饮料,河北衡水,471,51-60岁,河北衡水
郁国祥,110.0,先生,54.0,,乐游科技,投资,上海,471,51-60岁,上海
张宁,110.0,女士,50.0,,彤程新材,化工原料,上海浦东,471,51-60岁,上海浦东
章小华,110.0,先生,56.0,,红狮控股,水泥,浙江金华,471,51-60岁,浙江金华
赵绪龙,110.0,未知,,内蒙古赤峰,迈富时,SaaS解决方案,上海静安,471,,上海静安
郑春颖,110.0,先生,,,伽蓝,化妆品,上海,471,,上海
周宗文,110.0,先生,67.0,,周大生,珠宝,广东深圳,471,61-70岁,广东深圳
蔡镇球,105.0,先生,59.0,泉州,霖园,金融服务,台湾台北,494,51-60岁,台湾台北
昌敬,105.0,先生,42.0,,石头科技,智能机器人,北京,494,41-50岁,北京
陈先保,105.0,先生,65.0,,华泰,农副食品加工业,安徽合肥,494,61-70岁,安徽合肥
成正辉,105.0,先生,60.0,,惠泰医疗,医疗器械,广东深圳,494,61-70岁,广东深圳
董才平,105.0,先生,61.0,常州,中天钢铁,钢铁、投资,江苏常州,494,61-70岁,江苏常州
甘忠如,105.0,先生,76.0,,甘李药业,生物制药,北京,494,70岁以上,北京
何旗,105.0,先生,42.0,,均和,钢铁贸易,上海浦东,494,41-50岁,上海浦东
黄巧灵,105.0,先生,66.0,,宋城,旅游、房地产,浙江杭州,494,61-70岁,浙江杭州
柯尊洪,105.0,先生,70.0,雅安,康弘药业,制药,四川成都,494,70岁以上,四川成都
陆昂,105.0,女士,61.0,,嘉德,投资、拍卖,北京,494,61-70岁,北京
罗智先,105.0,先生,68.0,,统一,食品和饮料,台湾台南,494,61-70岁,台湾台南
蒲忠杰,105.0,先生,61.0,,乐普,医疗设备,北京,494,61-70岁,北京
王明旺,105.0,先生,57.0,广东,欣旺达,电子部件,广东深圳,494,51-60岁,广东深圳
王维,105.0,先生,43.0,上海,行云集团,企业服务,广东深圳,494,41-50岁,广东深圳
王雪红,105.0,先生,66.0,新北,宏达,半导体,台湾桃园,494,61-70岁,台湾桃园
许连捷,105.0,先生,71.0,,恒安,个人护理用品,福建泉州,494,70岁以上,福建泉州
薛向东,105.0,先生,65.0,泰安,东华软件,软件与信息服务,北京,494,61-70岁,北京
叶小平,105.0,先生,61.0,,泰格医药,医药,浙江杭州,494,61-70岁,浙江杭州
余凯,105.0,先生,,,地平线,智能芯片,北京,494,,北京
袁仲雪,105.0,先生,69.0,,赛轮轮胎,轮胎,山东青岛,494,61-70岁,山东青岛
张邦鑫,105.0,先生,44.0,,好未来,教育,北京,494,41-50岁,北京
张传卫,105.0,先生,62.0,信阳,明阳智能,新能源,广东中山,494,61-70岁,广东中山
张毓强,105.0,先生,69.0,,振石控股,房地产、矿产,浙江嘉兴,494,61-70岁,浙江嘉兴
陈康平,100.0,先生,51.0,,晶科能源,太阳能,江西上饶,517,51-60岁,江西上饶
程维,100.0,先生,41.0,,滴滴出行,生活服务平台,北京,517,41-50岁,北京
邓耀,100.0,先生,90.0,香港,百丽,服装与配饰,香港,517,70岁以上,香港
段永平,100.0,先生,63.0,吉安,步步高,投资,美国,517,61-70岁,美国
顾伟,100.0,先生,59.0,,兆驰股份,消费电子产品,广东深圳,517,51-60岁,广东深圳
胡应湘,100.0,先生,89.0,香港,合和实业,房地产、建筑工程,香港,517,70岁以上,香港
黄宏生,100.0,先生,68.0,,创维,家用电器,广东深圳,517,61-70岁,广东深圳
李国宝,100.0,先生,85.0,,东亚银行,银行业,香港,517,70岁以上,香港
李家权,100.0,先生,61.0,,龙蟒,钛白粉、磷化工,四川成都,517,61-70岁,四川成都
李建全,100.0,先生,67.0,,稳健医疗,医疗用品,广东深圳,517,61-70岁,广东深圳
李金阳,100.0,女士,,,赤峰黄金,金矿,内蒙古赤峰,517,,内蒙古赤峰
李宁,100.0,先生,61.0,佛山,李宁,体育用品、投资,北京,517,61-70岁,北京
李仲初,100.0,先生,61.0,,石基,软件与信息服务,北京,517,61-70岁,北京
励民,100.0,先生,59.0,,瑞芯微,集成电路,福建福州,517,51-60岁,福建福州
林定强,100.0,先生,58.0,福州,金辉,房地产,北京,517,51-60岁,北京
刘方毅,100.0,先生,54.0,,英科医疗,医疗器械,山东淄博,517,51-60岁,山东淄博
秦龙,100.0,先生,59.0,,森麒麟,轮胎,山东青岛,517,51-60岁,山东青岛
饶微,100.0,先生,60.0,,新产业,医疗器械,广东深圳,517,61-70岁,广东深圳
邵根伙,100.0,先生,59.0,金华,大北农,饲料、种业,北京,517,51-60岁,北京
施文博,100.0,先生,74.0,,恒安,个人护理用品,福建泉州,517,70岁以上,福建泉州
孙孟全,100.0,先生,74.0,烟台,鲁花,食用油,山东烟台,517,70岁以上,山东烟台
唐修国,100.0,先生,61.0,,三一,重型机械,北京,517,61-70岁,北京
田明,100.0,先生,71.0,,美亚光电,专用设备制造业,安徽合肥,517,70岁以上,安徽合肥
万隆,100.0,先生,84.0,,双汇,食品,河南郑州,517,70岁以上,河南郑州
汪林朋,100.0,先生,55.0,,居然之家,家居建材,北京,517,51-60岁,北京
吴东进,100.0,先生,79.0,新竹,新光,金融、医院,台湾台北,517,70岁以上,台湾台北
谢嘉,100.0,先生,,,大疆,无人机,广东深圳,517,,广东深圳
杨冰,100.0,先生,39.0,江西,得物,电商,上海,517,31-40岁,上海
应书岭,100.0,先生,43.0,上海,英雄互娱,电竞游戏,北京,517,41-50岁,北京
张恭运,100.0,先生,61.0,山东,豪迈科技,机械制造,山东潍坊,517,61-70岁,山东潍坊
张克强,100.0,先生,64.0,,华美国际,投资、房地产,广东广州,517,61-70岁,广东广州
张立国,100.0,先生,60.0,,敷尔佳,护肤品,黑龙江哈尔滨,517,61-70岁,黑龙江哈尔滨
张永平,100.0,先生,63.0,,秀水街,房地产,北京,517,61-70岁,北京
周剑,100.0,先生,48.0,,优必选,机器人,广东深圳,517,41-50岁,广东深圳
陈得福,95.0,先生,76.0,福建,仙妮雷德,医疗保健,美国洛杉矶,551,70岁以上,美国洛杉矶
范秀莲,95.0,先生,61.0,,海思科,医药,西藏山南,551,61-70岁,西藏山南
何涛,95.0,先生,44.0,,圆心科技,互联网医院,北京,551,41-50岁,北京
焦震,95.0,先生,58.0,,鼎晖,投资,北京,551,51-60岁,北京
金磊,95.0,先生,70.0,,佰仁医疗,医疗器械,北京,551,70岁以上,北京
李晓明,95.0,先生,66.0,,恩捷股份,包装盒生产,云南玉溪,551,61-70岁,云南玉溪
梁丰,95.0,先生,56.0,,璞泰来,锂电池材料,上海浦东,551,51-60岁,上海浦东
林来嵘,95.0,先生,56.0,,众兴,矿业,天津,551,51-60岁,天津
罗秋平,95.0,先生,61.0,,蓝月亮,日化用品,广东广州,551,61-70岁,广东广州
彭永鹤,95.0,先生,55.0,,新瑞鹏,宠物医院,广东深圳,551,51-60岁,广东深圳
乔志涌,95.0,先生,60.0,,侨源股份,液态气体,四川成都,551,61-70岁,四川成都
荣智健,95.0,先生,82.0,无锡,中信泰富,投资、房地产,香港,551,70岁以上,香港
苏纯兴,95.0,先生,,台湾,和泰汽车,汽车零售,台湾台北,551,,台湾台北
王恒,95.0,先生,76.0,,金鹰,零售、房地产,江苏南京,551,70岁以上,江苏南京
王均豪,95.0,先生,52.0,温州,均瑶,房地产、航空、零售,上海徐汇,551,51-60岁,上海徐汇
王振华,95.0,先生,62.0,江苏,新城,房地产,上海普陀,551,61-70岁,上海普陀
吴东亮,95.0,先生,,新竹,新光,金融,台湾台北,551,,台湾台北
吴忌寒,95.0,先生,38.0,,比特小鹿,芯片、矿机,新加坡,551,31-40岁,新加坡
吴美蓉,95.0,先生,64.0,扬中,美科股份,太阳能设备,上海,551,61-70岁,上海
谢菊华,95.0,先生,73.0,,健友股份,原料药,江苏南京,551,70岁以上,江苏南京
许达来,95.0,先生,53.0,,小米,智能硬件与技术、投资,北京,551,51-60岁,北京
杨霞,95.0,女士,50.0,,锦波,生物医药,山西太原,551,51-60岁,山西太原
昝圣达,95.0,先生,61.0,南通,综艺,新能源、信息科技、投资,江苏南通,551,61-70岁,江苏南通
张世龙,95.0,先生,58.0,,圣邦,模拟芯片,北京,551,51-60岁,北京
周镇科,95.0,先生,49.0,汕头,大晟文化,文化娱乐,广东深圳,551,41-50岁,广东深圳
曾繁城,90.0,先生,,,台积电,半导体,台湾新竹,576,,台湾新竹
常建鸣,90.0,先生,59.0,,鸣志电器,控制电机,上海闵行,576,51-60岁,上海闵行
陈士良,90.0,先生,61.0,,桐昆,化纤、房地产,浙江嘉兴,576,61-70岁,浙江嘉兴
陈涛,90.0,先生,52.0,陇南,胜宏科技,高密度印制电路板,广东惠州,576,51-60岁,广东惠州
陈智松,90.0,先生,58.0,,亿联网络,通信,福建厦门,576,51-60岁,福建厦门
